"sample","detailed_category","primary disease or tissue","_primary_site","_sample_type","_gender","_study","cancer","sample.type.cancer.info","Grade","Stage","TNM.Metastasis","TNM.Node","TNM.Tumor","Cancer.Type.Detailed","Subtype"
"GTEX-12WSN-1326-SM-5GCNT","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-12ZZX-1126-SM-5EGKB","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13113-1726-SM-5GCOO","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-1313W-0826-SM-5EQ4T","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-131XW-0726-SM-5EGK3","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-131YS-0626-SM-5EGKL","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-132AR-0826-SM-5EGK6","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-132Q8-1426-SM-5EGK7","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-133LE-1726-SM-5K7VQ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-1399U-1826-SM-5PNZ1","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-139T6-1626-SM-5PNYZ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-139T8-0826-SM-5L3DE","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-139TU-0626-SM-5KM3X","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13CF2-2026-SM-5K7VI","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13CF3-2126-SM-5IFJP","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13D11-1026-SM-5IJFB","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13FHO-0826-SM-5L3E8","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13FTX-1126-SM-5N9EN","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13FTY-2226-SM-5J1ND","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13N11-1726-SM-5J1OJ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13N1W-0626-SM-5MR4U","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13NZ9-1026-SM-5MR5K","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13NZB-2126-SM-5MR4Y","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13O3O-0826-SM-5K7WE","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13O3P-0826-SM-5L3DH","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13O61-1826-SM-5KM4I","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13OW8-0226-SM-5K7UP","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13PL6-2926-SM-5L3I2","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13PVQ-1026-SM-5KM3M","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13QIC-2326-SM-5LU5N","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13S86-1226-SM-5S2OA","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13W3W-1226-SM-5LU4H","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-13W46-0826-SM-5LU3H","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-144GL-2026-SM-5LU3O","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-144GM-0926-SM-5O994","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-145ME-1526-SM-5Q5F2","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-145MN-1926-SM-5SIAI","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-145MO-0826-SM-5NQBL","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-146FH-0826-SM-5SI8T","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-14753-2426-SM-5LU8U","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-147F4-2826-SM-5NQBN","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-14ABY-2126-SM-5QGQZ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-14AS3-1626-SM-5S2OY","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-14E6E-1326-SM-5S2NR","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-Q2AG-0326-SM-48U1O","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-QDT8-0626-SM-48TYW","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-QEG5-0726-SM-4R1JQ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-QEL4-2126-SM-447AE","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-QMRM-1626-SM-4R1KV","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-QVJO-1826-SM-447C9","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-R53T-1526-SM-48FEK","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-R55D-0826-SM-48FEA","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-R55F-1726-SM-2TF4R","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-REY6-2426-SM-48FF5","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-RU1J-0626-SM-4WAWY","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-RU72-0626-SM-46MUI","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-S32W-2026-SM-4AD6E","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-S33H-0326-SM-4AD6N","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-S341-1526-SM-4AD6K","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-S4UY-0726-SM-4AD6X","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-S7SE-0826-SM-4AT4D","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-SE5C-2126-SM-4BRUJ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-SIU7-1626-SM-4BRUK","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-T2YK-2226-SM-32QPT","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-T5JW-2026-SM-4DM63","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-T6MN-0726-SM-32PML","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-T6MO-0326-SM-32QOK","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-TML8-1226-SM-32QON","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-U3ZH-1426-SM-4DXSR","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-U3ZN-1926-SM-4DXSG","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-U412-1826-SM-4DXTJ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-U8XE-0826-SM-4E3J1","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-UJHI-1426-SM-3DB9C","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-UPK5-2326-SM-3P5Z8","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-UTHO-1026-SM-3GAF7","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-V955-2026-SM-3GAFA","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-VJWN-0726-SM-3GIJ8","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-VUSG-2226-SM-4KKZO","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WI4N-1426-SM-3LK7H","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WOFL-0826-SM-3MJG1","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WRHU-0326-SM-3MJFY","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WXYG-2226-SM-4E3IM","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WY7C-2726-SM-3NB3P","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WYBS-0926-SM-3NM94","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WYJK-1326-SM-3NB2T","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-WYVS-1726-SM-3NMAY","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-X15G-1626-SM-3NMB3","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-X261-0626-SM-3NMD9","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-X4EP-2926-SM-3P5YQ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-X4XY-0926-SM-4E3JD","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XBED-1626-SM-47JYN","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XGQ4-0926-SM-4AT4U","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XMD1-0826-SM-4AT52","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XMD2-0926-SM-4WWEF","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XMK1-1126-SM-4IHJ8","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XQ3S-1326-SM-4BOPQ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XQ8I-2426-SM-4WAXY","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XUJ4-1926-SM-4BOOV","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XUW1-2326-SM-4BOO5","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XUZC-1626-SM-4BRVP","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XV7Q-2326-SM-4BRVZ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-XYKS-1326-SM-4BRUN","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-Y111-2026-SM-4SOJA","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
